"grade","gender","school","dose","season","pre","alcohol","tobacco","marijuana","drugs","sleep","meals","contracts","parentcontracts","longtermeffect","impactonperformance","athletictraining","drinkinginjury","damagemusclefibers","testosterone","adequatesleep","agesstrongly.disagreeagree_disagreeagree","beforestrongly.disagree6","brainmessages","simpletasks","lostpotential","athleticcontractchoice","teammateaccountability","contractcoaches","contractparents","clearcontracts","faircontracts","coachesserious","coachcares","coachesexpectations","coachteamissues","coachesunity","coachescontactparents","coachesavoidsubstanceuse","coachencouragessleep","healthybalancedmeals","parentshealthychoices","parentsavoidatod","parentssleep","parentseathealthy","parentsseecoachasimportant","parentsaddresssensitiveissues","communityatod","communitysleep","communityeatinghabits","communitycharacterbuilding","communityrespectfulbehavior","leadersatod","leaderssleep","leadershelpothers","leadersplayerssleep","leadersplayerseat","socialnormsatod","socialnormsenoughsleep","socialnormseating","socialnormslifestylechoices","socialnormscontracts","socialnormscoachimportant","socialnormssensitivetopics","socialnormsensitivecoach"
"9","Male","Epping",0,"Winter",1,1,1,1,1,5,5,3,3,5,5,5,4,4,4,1,4,2,5,4,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,2,2,4,4,4,5,5,4,5,5
"10","Male","Epping",0,"Winter",1,1,1,1,1,6,2,3,3,5,5,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5
"11","Male","Pinkerton",0,"Winter",1,1,1,1,1,1,1,2,2,4,5,4,4,4,4,4,4,5,4,4,4,1,2,5,5,5,4,5,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,1,1,1,5,5,5,5,5
"9","Male","Pinkerton",0,"Winter",1,1,1,1,1,5,6,3,3,5,5,5,5,5,5,1,4,4,5,5,5,4,2,5,5,5,5,5,4,4,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,2,5,4,4,4,4,4,2,4,4,5,5,5,4,5
"10","Female","Pinkerton",0,"Winter",1,1,1,1,1,7,7,3,3,4,4,4,4,4,4,1,4,2,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,4,4,4,5,5,5,5,5
"9","Male","Lebanon",0,"Winter",1,1,1,1,1,6,6,3,3,5,5,5,5,5,5,1,4,4,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5
"10","Female","Lebanon",0,"Winter",1,1,1,1,1,6,6,3,3,5,4,2,4,2,4,1,5,2,5,5,2,5,1,5,5,5,5,5,5,5,5,4,2,4,4,4,4,4,5,5,2,5,4,2,5,4,1,3,3,3,3,3,2,2,4,5,5,2,2,2
"9","Female","Pinkerton",0,"Winter",1,1,1,1,1,6,6,3,3,5,5,5,5,5,5,1,4,2,5,5,5,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,2,5,5,5,5,5
"9","Male","Pinkerton",0,"Winter",1,1,1,1,1,5,6,3,2,5,5,4,4,4,2,1,4,1,4,4,2,4,1,4,5,4,4,5,5,5,5,5,2,4,2,5,5,5,4,5,4,5,5,2,4,5,5,5,5,5,2,5,4,2,4,5,5,5,5,5
"9","Female","Pinkerton",0,"Winter",1,1,1,1,1,5,6,2,2,4,5,5,4,4,4,1,2,2,4,4,4,1,4,4,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,4,5,5
"11","Male","Pinkerton",0,"Winter",1,1,1,1,1,6,5,2,2,4,5,2,2,4,2,1,5,2,5,5,5,4,1,5,5,4,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,4,2,4,4,4,5,5,5,5,1,1,2,4,2,5,5,5,5,5
"12","Female","Pinkerton",0,"Winter",1,1,1,1,1,5,5,1,1,4,4,4,4,4,4,2,4,4,4,4,4,1,4,4,2,4,4,5,5,5,5,5,2,4,4,5,4,4,4,4,2,5,2,4,4,4,4,4,4,4,4,4,2,4,4,5,5,4,5,5
"10","Female","Pinkerton",0,"Winter",1,1,1,1,1,5,6,3,3,5,5,5,2,4,4,1,4,5,4,4,2,4,4,4,4,4,2,5,4,4,5,2,4,2,4,4,5,4,5,5,4,5,2,4,5,4,4,5,4,4,4,5,1,2,4,4,5,4,5,4
"12","Male","Pinkerton",0,"Winter",1,1,1,1,1,5,5,3,2,4,4,4,5,4,4,1,4,2,4,4,2,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,5,4,2,5,2,5,5,4,5,5
"9","Male","Pinkerton",0,"Winter",1,1,1,1,1,6,1,3,3,4,4,4,2,4,4,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"10","Female","Pinkerton",0,"Winter",1,1,1,1,1,5,5,3,1,4,4,2,2,4,2,1,4,4,4,4,4,1,2,4,4,4,4,4,2,2,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2
"9","Female","Pinkerton",0,"Winter",1,1,1,1,1,6,6,3,3,5,5,5,5,5,5,1,4,2,5,4,4,3,3,3,3,5,5,5,5,4,5,5,4,5,5,5,4,1,4,4,3,5,3,3,3,3,3,5,5,5,5,5,5,4,4,4,5,4,5,4
"12","Female","Pinkerton",0,"Winter",1,1,1,1,1,5,6,3,3,5,5,5,4,5,4,1,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,2,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,2,5,5,5,5,5
"10","Male","Pinkerton",0,"Winter",1,1,1,1,1,6,6,3,2,4,4,4,2,4,4,2,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"11","Male","Lebanon",0,"Winter",1,1,1,1,1,1,1,2,2,5,5,5,5,5,5,1,2,2,5,5,5,4,4,4,2,4,4,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"12","Male","Lebanon",0,"Winter",1,1,1,1,1,1,1,2,2,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"11","Male","Lebanon",0,"Winter",1,1,1,1,1,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,2,2,2,5,5,5,5,5
"9","Female","Lebanon",0,"Winter",1,1,1,1,1,1,5,2,2,4,4,4,4,5,4,1,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4
"11","Female","Lebanon",0,"Winter",1,1,1,1,1,5,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"11","Female","Lebanon",0,"Winter",1,1,1,1,1,2,2,3,3,4,4,4,4,4,4,2,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
"9","Male",".",0,"Winter",1,1,1,1,1,2,7,3,3,5,5,5,5,5,5,1,4,4,5,5,5,5,4,1,1,4,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"10","Male","Portsmouth",0,"Winter",1,1,1,1,1,6,6,,,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,4,4,5,5,5,5,2,2,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4
"10","Male","Pinkerton",0,"Winter",1,1,1,1,1,6,5,2,2,5,5,5,4,4,5,1,4,1,4,4,4,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5
"11","Female","Pinkerton",0,"Winter",1,5,1,1,1,5,2,2,1,4,4,2,4,4,4,2,4,5,5,4,4,5,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,2,5,2,4,4,2,4,2,2,2,4,5,2,2,4,4,4,2,4,2
"10","Female","Pinkerton",0,"Winter",1,1,1,1,1,6,6,3,3,5,5,4,5,5,4,1,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,4,2,5,5,5,4,5,5,5,5,5,4,4,4,4,4,5,5,5,4,5,4,4,4,5,5,5,4,5
"11","Male","Pinkerton",0,"Winter",1,1,1,1,1,5,5,3,2,5,5,5,5,5,5,1,4,4,5,5,4,1,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,2,4,4,5,5,5,5,5,5,5,2,4,4,4,5,5,5,5
"11","Female","Pinkerton",0,"Winter",1,1,1,1,1,6,7,3,2,5,5,5,5,5,5,1,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5
"12","Female","Pinkerton",0,"Winter",1,1,1,1,1,6,6,3,3,5,5,5,5,5,5,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5
"12","Male","Pinkerton",0,"Winter",1,1,1,1,1,5,5,3,3,5,5,4,5,5,5,1,5,5,5,5,5,2,5,1,4,5,5,2,1,4,1,1,1,2,4,1,4,4,4,4,1,4,1,1,1,1,2,1,1,1,1,1,2,2,2,4,4,1,4,4
"10","Female","Pinkerton",0,"Winter",1,1,1,1,1,6,5,3,3,2,5,4,5,5,2,1,5,4,5,5,5,5,5,4,4,5,5,4,2,5,5,5,1,5,5,5,5,4,5,2,5,4,5,5,5,5,4,5,5,5,5,5,5,2,2,5,5,2,5,5
"10","Male","Pinkerton",0,"Winter",1,1,1,1,1,5,5,2,2,4,5,5,4,4,4,1,4,4,5,4,4,5,5,5,5,5,5,5,5,5,4,5,2,4,5,4,2,5,5,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4
"9","Male","Pinkerton",0,"Winter",1,1,1,1,1,5,5,3,3,5,5,5,5,5,5,1,5,4,5,5,5,2,2,2,2,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,2,2,4,4,5,4,4,2,4,4,2,2,4,4,4,4,4
"9","Male","Pinkerton",0,"Winter",1,1,1,1,1,5,6,3,2,4,4,4,5,4,2,1,1,4,4,4,4,4,5,5,4,4,5,5,5,4,5,4,4,5,5,5,5,5,5,5,4,5,2,5,4,4,4,5,5,5,5,5,2,5,2,4,5,4,4,5
"11","Female","Pinkerton",0,"Winter",1,1,1,1,1,6,5,2,2,5,5,5,5,5,5,1,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,5,4,5,5,5,5,5
"10","Female","Pinkerton",0,"Winter",1,1,1,1,1,6,5,2,2,5,5,4,5,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5
"10","Female","Pinkerton",0,"Winter",1,1,1,1,1,1,1,2,2,5,5,5,5,5,5,1,5,4,5,5,5,1,4,4,4,5,5,4,5,5,5,5,4,4,4,5,5,5,5,5,4,5,2,4,4,4,5,2,5,4,5,4,2,4,5,5,5,5,5,5
"9","Female","Pinkerton",0,"Winter",1,1,1,1,1,5,5,3,3,5,5,4,5,4,4,1,5,4,5,5,4,4,5,5,5,5,4,5,5,4,5,5,4,5,4,4,4,5,5,5,4,4,4,4,4,4,4,5,5,5,5,4,4,5,5,4,5,4,5,5
"12","Female","Pinkerton",0,"Winter",1,1,1,1,1,1,1,3,3,2,4,2,2,4,4,1,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,4,4,4,4,4,5,2,2,2,4,2,5,5,5,5,5,2,4,4,4,5,5,5,5
"12","Female","Pinkerton",0,"Winter",1,1,1,1,7,5,6,3,2,5,5,5,5,5,5,1,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,2,4,4,4,4,4,4,5,5,5,2,5,5,5,5,5,5,5
"10","Female","Pinkerton",0,"Winter",1,2,1,1,1,6,1,3,3,5,5,5,5,5,5,1,5,4,5,5,5,5,2,5,5,5,5,5,5,5,4,4,2,5,5,5,5,5,5,5,5,5,4,4,4,4,4,2,2,2,2,2,5,2,4,5,5,5,2,2
"10","Male","Woodsville",0,"Winter",1,1,2,1,1,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"9","Male","Woodsville",0,"Winter",1,1,1,1,1,6,5,3,3,5,5,4,5,5,5,1,5,2,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,4,2,5,5,4,5,5
